gw0_x,gw0_y,an0_x,an0_y,an1_x,an1_y,en0_x,en0_y
0,0,0,0,0,0,0,8
node_id,packet_id,rssi,snr,timestamp,ticks,temp,humi
AN1,00207,-83,6,1760677877,112800746,40.9,28.6
GW0,00208,-75,8,1760677907,111805408,40.9,28.1
AN0,00208,-74,8,1760677907,111805168,40.9,28.1
AN1,00208,-83,5,1760677907,111805669,40.9,28.1
GW0,00209,-76,7,1760677937,109873877,40.0,27.9
AN0,00209,-73,6,1760677937,109873621,40.0,27.9
AN1,00209,-78,6,1760677937,109873777,40.0,27.9
GW0,00210,-76,7,1760677967,108171435,38.6,30.0
AN0,00210,-71,7,1760677967,108171340,38.6,30.0
AN1,00210,-87,3,1760677967,108171805,38.6,30.0
GW0,00211,-78,7,1760677997,105936132,38.2,31.2
AN0,00211,-71,7,1760677997,105936085,38.2,31.2
AN1,00211,-83,5,1760677997,105936117,38.2,31.2
GW0,00212,-77,7,1760678027,104634789,38.2,30.5
AN0,00212,-74,8,1760678027,104634785,38.2,30.5
AN1,00212,-82,7,1760678027,104634887,38.2,30.5
GW0,00213,-78,7,1760678057,102658514,38.1,30.9
AN0,00213,-74,8,1760678057,102658690,38.1,30.9
AN1,00213,-85,5,1760678057,102658859,38.1,30.9
GW0,00214,-75,7,1760678087,99999422,38.1,31.5
AN0,00214,-71,7,1760678087,99999541,38.1,31.5
AN1,00214,-80,7,1760678087,99999648,38.1,31.5
GW0,00215,-76,8,1760678117,98208162,38.1,31.7
AN0,00215,-73,7,1760678117,98208043,38.1,31.7
AN1,00215,-78,7,1760678117,98208195,38.1,31.7
GW0,00216,-76,7,1760678147,96676501,38.1,30.5
AN0,00216,-74,8,1760678147,96676395,38.1,30.5
AN1,00216,-81,6,1760678147,96676375,38.1,30.5
GW0,00217,-78,8,1760678177,93912844,37.7,30.9
AN0,00217,-74,8,1760678177,93913227,37.7,30.9
AN1,00217,-85,4,1760678177,93913257,37.7,30.9
GW0,00218,-78,8,1760678207,91485935,37.5,32.6
AN0,00218,-74,8,1760678207,91485813,37.5,32.6
AN1,00218,-81,6,1760678207,91486012,37.5,32.6
GW0,00219,-79,8,1760678237,88699894,38.5,31.5
AN0,00219,-74,8,1760678237,88700245,38.5,31.5
AN1,00219,-81,7,1760678237,88700198,38.5,31.5
GW0,00220,-79,8,1760678267,85556157,39.1,30.5
AN0,00220,-74,8,1760678267,85555873,39.1,30.5
AN1,00220,-94,-2,1760678267,85555920,39.1,30.5
GW0,00221,-75,8,1760678297,83296748,39.6,29.8
AN0,00221,-73,6,1760678297,83296464,39.6,29.8
AN1,00221,-81,6,1760678297,83296105,39.6,29.8
GW0,00222,-77,8,1760678327,80155135,39.0,29.8
AN0,00222,-74,8,1760678327,80154999,39.0,29.8
AN1,00222,-82,6,1760678327,80154943,39.0,29.8
GW0,00223,-77,8,1760678357,76721567,39.1,30.8
AN0,00223,-71,7,1760678357,76721777,39.1,30.8
AN1,00223,-83,5,1760678357,76721575,39.1,30.8
GW0,00224,-80,7,1760678387,74533538,39.6,30.1
AN0,00224,-70,7,1760678387,74533550,39.6,30.1
AN1,00224,-86,2,1760678387,74533493,39.6,30.1
GW0,00225,-78,7,1760678417,70895043,39.3,29.4
AN0,00225,-74,8,1760678417,70895350,39.3,29.4
AN1,00225,-80,6,1760678417,70894858,39.3,29.4
GW0,00226,-77,8,1760678447,67453405,39.0,29.7
AN0,00226,-74,8,1760678447,67453470,39.0,29.7
AN1,00226,-79,7,1760678447,67453162,39.0,29.7
GW0,00227,-79,8,1760678477,64423092,38.3,30.4
AN0,00227,-71,7,1760678477,64422910,38.3,30.4
AN1,00227,-80,7,1760678477,64423098,38.3,30.4
