gw0_x,gw0_y,an0_x,an0_y,an1_x,an1_y,en0_x,en0_y
0,0,85.9,-107.3,30.5,-154.1,10.8,-16.3
node_id,packet_id,rssi,snr,timestamp,ticks,temp,humi
AN1,00098,-80,5,1760329364,253809700,33.2,42.1
GW0,00099,-68,8,1760329394,252412634,33.4,42.9
AN0,00099,-89,-1,1760329394,252412780,33.4,42.9
AN1,00099,-78,6,1760329394,252413047,33.4,42.9
GW0,00100,-70,7,1760329424,250431125,33.4,42.3
AN0,00100,-95,-4,1760329424,250431034,33.4,42.3
AN1,00100,-79,6,1760329424,250431587,33.4,42.3
GW0,00101,-70,7,1760329454,247873020,33.1,42.6
AN0,00101,-102,-9,1760329454,247872658,33.1,42.6
AN1,00101,-78,5,1760329454,247873348,33.1,42.6
GW0,00102,-70,8,1760329484,246631547,33.0,43.4
AN0,00102,-93,-2,1760329484,246631468,33.0,43.4
AN1,00102,-79,5,1760329484,246631914,33.0,43.4
GW0,00103,-70,7,1760329514,244013334,32.8,42.7
AN0,00103,-91,-3,1760329514,244013539,32.8,42.6
AN1,00103,-81,5,1760329514,244013925,32.8,42.6
GW0,00104,-70,8,1760329544,241272478,32.5,42.3
AN0,00104,-95,-3,1760329544,241272748,32.4,42.3
AN1,00104,-79,6,1760329544,241273036,32.4,42.3
GW0,00105,-69,8,1760329574,238788788,32.2,42.7
AN0,00105,-98,-6,1760329574,238788896,32.2,42.7
AN1,00105,-79,6,1760329574,238789283,32.2,42.7
GW0,00106,-67,7,1760329604,236127177,31.9,43.0
AN0,00106,-91,-1,1760329604,236127092,31.9,43.0
AN1,00106,-79,6,1760329604,236127595,31.9,43.0
GW0,00107,-68,8,1760329634,234293893,31.8,43.2
AN0,00107,-92,-1,1760329634,234294014,31.8,43.2
AN1,00107,-79,6,1760329634,234294408,31.8,43.2
GW0,00108,-68,7,1760329664,232517057,31.8,43.1
AN0,00108,-90,0,1760329664,232516936,31.8,43.1
AN1,00108,-79,6,1760329664,232516972,31.8,43.1
GW0,00109,-68,8,1760329694,231429970,31.9,43.1
AN0,00109,-94,-3,1760329694,231429663,31.9,43.1
AN1,00109,-79,6,1760329694,231430279,31.9,43.1
GW0,00110,-69,8,1760329724,230362751,32.1,42.5
AN0,00110,-92,-2,1760329724,230362801,32.1,42.5
AN1,00110,-80,6,1760329724,230362931,32.1,42.5
GW0,00111,-70,7,1760329754,228850450,32.3,43.0
AN0,00111,-101,-10,1760329754,228850896,32.3,43.0
AN1,00111,-79,6,1760329754,228851131,32.3,43.0
GW0,00112,-74,8,1760329784,227730098,32.7,44.2
AN0,00112,-93,-3,1760329784,227729813,32.7,44.2
AN1,00112,-78,6,1760329784,227730244,32.7,44.2
GW0,00113,-73,7,1760329814,226158027,33.3,42.7
AN0,00113,-96,-4,1760329814,226157930,33.3,42.6
AN1,00113,-79,6,1760329814,226158364,33.3,42.6
GW0,00114,-74,8,1760329844,225005660,33.7,41.9
AN0,00114,-94,-3,1760329844,225005345,33.7,41.9
AN1,00114,-78,6,1760329844,225005823,33.7,41.9
GW0,00115,-74,7,1760329874,222885472,33.9,40.5
AN0,00115,-96,-4,1760329874,222884927,33.9,40.5
AN1,00115,-79,6,1760329874,222885494,33.9,40.5
GW0,00116,-74,8,1760329904,219450099,34.0,40.3
AN0,00116,-94,-4,1760329904,219450405,34.1,40.1
AN1,00116,-80,6,1760329904,219450369,34.1,40.1
GW0,00117,-74,8,1760329934,215259781,33.8,39.9
AN0,00117,-94,-3,1760329934,215259571,33.8,39.9
AN1,00117,-79,5,1760329934,215259971,33.8,39.9
GW0,00118,-74,8,1760329964,211505353,33.5,39.9
AN0,00118,-94,-4,1760329964,211505298,33.5,39.9
AN1,00118,-80,6,1760329964,211505552,33.5,39.9
GW0,00119,-73,8,1760329994,207914631,33.1,41.5
AN0,00119,-95,-3,1760329994,207914717,33.1,41.5
AN1,00119,-81,5,1760329994,207914625,33.1,41.5
GW0,00120,-73,7,1760330024,205094942,33.0,42.0
AN0,00120,-93,-3,1760330024,205094565,33.0,42.0
AN1,00120,-81,5,1760330024,205095226,32.9,42.0
GW0,00123,-71,8,1760330114,201438015,32.8,42.4
AN0,00123,-95,-4,1760330114,201438391,32.8,42.4
AN1,00123,-80,6,1760330114,201438954,32.8,42.4
GW0,00124,-70,8,1760330144,200594447,32.7,42.5
AN0,00124,-97,-5,1760330144,200594361,32.7,42.5
AN1,00124,-78,5,1760330144,200594669,32.7,42.5
GW0,00125,-73,8,1760330174,199345402,32.2,42.4
AN0,00125,-97,-7,1760330174,199345669,32.2,42.4
AN1,00125,-80,5,1760330174,199345859,32.2,42.4
GW0,00126,-71,8,1760330204,198960747,32.0,43.2
AN0,00126,-101,-9,1760330204,198961254,32.0,43.2
AN1,00126,-80,5,1760330204,198961036,32.0,43.2
GW0,00127,-73,8,1760330234,197179508,32.1,42.9
AN0,00127,-93,-2,1760330234,197179238,32.1,42.9
AN1,00127,-78,6,1760330234,197179904,32.1,42.9
GW0,00128,-71,8,1760330264,195959306,32.2,42.3
AN0,00128,-94,-4,1760330264,195959243,32.2,42.3
AN1,00128,-79,5,1760330264,195959801,32.2,42.3
GW0,00129,-71,7,1760330294,194917812,32.2,42.0
AN0,00129,-93,-3,1760330294,194917991,32.2,42.0
AN1,00129,-78,5,1760330294,194918617,32.2,42.0
GW0,00130,-71,7,1760330324,193862638,32.0,43.7
AN0,00130,-92,-2,1760330324,193862518,32.0,43.7
AN1,00130,-79,6,1760330324,193863330,32.0,43.7
GW0,00131,-73,8,1760330354,192280417,32.1,43.6
AN0,00131,-95,-4,1760330354,192280625,32.1,43.6
AN1,00131,-78,5,1760330354,192281005,32.1,43.6
GW0,00132,-73,8,1760330384,190601470,32.2,43.7
AN0,00132,-95,-4,1760330384,190601243,32.2,43.7
AN1,00132,-78,5,1760330384,190601587,32.2,43.7
GW0,00133,-73,8,1760330414,189180487,32.3,43.5
AN0,00133,-92,-4,1760330414,189180858,32.3,43.5
AN1,00133,-79,5,1760330414,189180743,32.3,43.5
GW0,00134,-71,8,1760330444,187581038,32.4,43.1
AN0,00134,-93,-3,1760330444,187581063,32.4,43.1
AN1,00134,-79,6,1760330444,187581407,32.4,43.1
GW0,00135,-73,8,1760330474,186397747,32.3,42.5
AN0,00135,-91,-3,1760330474,186397499,32.3,42.5
AN1,00135,-78,5,1760330474,186397966,32.3,42.5
GW0,00136,-74,8,1760330504,184734895,32.5,43.1
AN0,00136,-93,-2,1760330504,184735099,32.5,43.1
AN1,00136,-79,6,1760330504,184735346,32.5,43.1
GW0,00137,-74,8,1760330534,182823679,32.4,41.1
AN0,00137,-96,-4,1760330534,182823778,32.4,41.1
AN1,00137,-79,6,1760330534,182824338,32.4,41.1
GW0,00138,-74,8,1760330564,180168395,32.1,41.6
AN0,00138,-94,-3,1760330564,180168245,32.1,41.6
AN1,00138,-78,5,1760330564,180168776,32.1,41.6
GW0,00139,-74,7,1760330594,177689329,32.1,42.0
AN0,00139,-92,-2,1760330594,177688824,32.1,42.0
AN1,00139,-79,6,1760330594,177689416,32.1,42.0
GW0,00140,-75,7,1760330624,176005285,32.1,42.2
AN0,00140,-94,-3,1760330624,176005376,32.1,42.2
AN1,00140,-78,6,1760330624,176005594,32.1,42.2
GW0,00141,-73,8,1760330654,175304554,32.1,42.6
AN0,00141,-93,-2,1760330654,175304377,32.0,42.5
AN1,00141,-80,6,1760330654,175304888,32.0,42.5
GW0,00142,-73,8,1760330684,173959217,32.1,42.6
AN0,00142,-96,-6,1760330684,173959328,32.1,42.6
AN1,00142,-80,5,1760330684,173959520,32.1,42.7
GW0,00143,-71,8,1760330714,173093891,32.0,43.6
AN0,00143,-93,-2,1760330714,173094165,32.0,43.6
AN1,00143,-80,5,1760330714,173093878,32.1,43.5
GW0,00144,-73,8,1760330744,173384531,32.0,42.6
AN0,00144,-96,-6,1760330744,173384300,32.0,42.6
AN1,00144,-80,6,1760330744,173384932,32.0,42.6
GW0,00145,-73,8,1760330774,173453271,31.9,43.7
AN0,00145,-95,-4,1760330774,173453364,31.9,43.7
AN1,00145,-79,6,1760330774,173453693,31.9,43.7
GW0,00146,-73,8,1760330804,173362187,32.0,44.0
AN0,00146,-90,-2,1760330804,173362143,32.0,44.0
AN1,00146,-80,5,1760330804,173362596,32.0,44.0
GW0,00147,-73,7,1760330834,172849686,32.4,43.5
AN0,00147,-90,-2,1760330834,172849824,32.4,43.5
AN1,00147,-80,5,1760330834,172850511,32.4,43.5
GW0,00148,-71,7,1760330864,171045258,32.7,42.4
AN0,00148,-90,0,1760330864,171045259,32.7,42.4
AN1,00148,-79,5,1760330864,171045227,32.7,42.5
GW0,00149,-70,7,1760330894,170825681,32.5,42.0
AN0,00149,-93,-2,1760330894,170825427,32.5,42.0
AN1,00149,-80,6,1760330894,170825714,32.5,42.0
GW0,00150,-71,8,1760330924,169127376,32.4,42.7
AN0,00150,-96,-6,1760330924,169127234,32.4,42.8
AN1,00150,-80,6,1760330924,169127546,32.4,42.8
GW0,00151,-70,8,1760330954,168582339,32.2,42.5
AN0,00151,-99,-8,1760330954,168582290,32.2,42.5
AN1,00151,-78,6,1760330954,168582581,32.2,42.5
GW0,00154,-73,8,1760331044,166516227,31.8,42.8
AN0,00154,-94,-3,1760331044,166516100,31.8,42.8
AN1,00154,-80,3,1760331044,166516029,31.8,42.8
GW0,00155,-74,8,1760331074,167219442,31.8,42.9
AN0,00155,-98,-6,1760331074,167219662,31.9,42.9
AN1,00155,-79,6,1760331074,167219866,31.9,42.9
GW0,00156,-71,7,1760331104,167300715,31.8,43.4
